lesson,block,type,label,src_or_url
L1,a1,button,無字幕,https://ltn.tw/BjneULK
L1,a1,button,英文字幕,https://ltn.tw/aVqQY3M
L1,a1,button,中英字幕,https://ltn.tw/hHUccqz
L1,a2,button,無字幕,https://ltn.tw/TbJMDgh
L1,a2,button,英文字幕,https://ltn.tw/OK25j2m
L1,a2,button,中英字幕,https://ltn.tw/6CxOobu
L1,a3,audio,第 1 段 Reading Selection-normal,https://github.com/flute012/font-size-16px/mp3/001.mp3
L1,a3,audio,第 2 段 Reading Selection-normal,/mp3/002.mp3
L1,a3,audio,第 3 段 Reading Selection-normal,./mp3/003.mp3
L1,a3,audio,第 4 段 Reading Selection-normal,/mp3/004.mp3
L1,a3,audio,第 5 段 Reading Selection-normal,/mp3/005.mp3
L1,a3,audio,第 6 段 Reading Selection-normal,/mp3/006.mp3
L1,a3,audio,第 1 段 Reading Selection-slow,/mp3/007.mp3
L1,a3,audio,第 2 段 Reading Selection-slow,/mp3/008.mp3
L1,a3,audio,第 3 段 Reading Selection-slow,/mp3/009.mp3
L1,a3,audio,第 4 段 Reading Selection-slow,/mp3/010.mp3
L1,a3,audio,第 5 段 Reading Selection-slow,/mp3/011.mp3
L1,a3,audio,第 6 段 Reading Selection-slow,/mp3/012.mp3
L1,a4,link,,https://ltn.tw/H8f7mOO
L1,a5,link,,https://ltn.tw/3EB9Z9g
L1,a6,audio,Words for Production 1 ~ 10,/mp3/013.mp3
L1,a6,audio,Words for Production 11 ~ 20,/mp3/014.mp3
L1,a6,audio,Idioms and Phrases,/mp3/015.mp3
L1,a6,audio,Words for Recognition,/mp3/016.mp3
L1,a7,link,,https://ltn.tw/Vd3qqAX
L1,a8,button,Vocabulary Preview,https://ltn.tw/LBiUcTq
L1,a8,button,Listen for the Gist,https://ltn.tw/GnCK2HH
L1,a8,button,Listen for Details,https://ltn.tw/AUDEG9F
L2,a1,button,無字幕,https://ltn.tw/QqbTLYc
L2,a1,button,英文字幕,https://ltn.tw/dXE3XU1
L2,a1,button,中英字幕,https://ltn.tw/IrARiQk
L2,a2,button,無字幕,https://ltn.tw/IrANbjk
L2,a2,button,英文字幕,https://ltn.tw/8MmQZ2A
L2,a2,button,中英字幕,https://ltn.tw/Vd3AhEX
L2,a3,audio,第 1 段 Reading Selection-normal,/mp3/018.mp3
L2,a3,audio,第 2 段 Reading Selection-normal,/mp3/019.mp3
L2,a3,audio,第 3 段 Reading Selection-normal,/mp3/020.mp3
L2,a3,audio,第 4 段 Reading Selection-normal,/mp3/021.mp3
L2,a3,audio,第 1 段 Reading Selection-slow,/mp3/022.mp3
L2,a3,audio,第 2 段 Reading Selection-slow,/mp3/023.mp3
L2,a3,audio,第 3 段 Reading Selection-slow,/mp3/024.mp3
L2,a3,audio,第 4 段 Reading Selection-slow,/mp3/025.mp3
L2,a4,link,,https://ltn.tw/vNynIhR
L2,a5,link,,https://ltn.tw/A69uZ8F
L2,a6,audio,Words for Production 1 ~ 10,/mp3/026.mp3
L2,a6,audio,Words for Production 11 ~ 20,/mp3/027.mp3
L2,a6,audio,Idioms and Phrases,/mp3/028.mp3
L2,a6,audio,Words for Recognition,/mp3/029.mp3
L2,a7,link,,https://ltn.tw/yuir9Hf
L2,a8,button,Vocabulary Preview,https://ltn.tw/JXYueD9
L2,a8,button,Listen for the Gist,https://ltn.tw/ZgrYZrs
L2,a8,button,Listen for Details,https://ltn.tw/8VvzviA
L3,a1,button,無字幕,https://ltn.tw/aVqQyxM
L3,a1,button,英文字幕,https://ltn.tw/TbJ2qJh
L3,a1,button,中英字幕,https://ltn.tw/c7peUjn
L3,a2,button,無字幕,https://ltn.tw/W9Xinta
L3,a2,button,英文字幕,https://ltn.tw/ZL4JLEs
L3,a2,button,中英字幕,https://ltn.tw/gBeDIVi
L3,a3,audio,第 1 段 Reading Selection-normal,/mp3/031.mp3
L3,a3,audio,第 2 段 Reading Selection-normal,/mp3/032.mp3
L3,a3,audio,第 3 段 Reading Selection-normal,/mp3/033.mp3
L3,a3,audio,第 4 段 Reading Selection-normal,/mp3/034.mp3
L3,a3,audio,第 1 段 Reading Selection-slow,/mp3/035.mp3
L3,a3,audio,第 2 段 Reading Selection-slow,/mp3/036.mp3
L3,a3,audio,第 3 段 Reading Selection-slow,/mp3/037.mp3
L3,a3,audio,第 4 段 Reading Selection-slow,/mp3/038.mp3
L3,a4,link,,https://ltn.tw/521C848
L3,a5,link,,https://ltn.tw/c7pG3Yn
L3,a6,audio,Words for Production 1 ~ 10,/mp3/039.mp3
L3,a6,audio,Words for Production 11 ~ 21,/mp3/040.mp3
L3,a6,audio,Idioms and Phrases,/mp3/041.mp3
L3,a6,audio,Words for Recognition,/mp3/042.mp3
L3,a7,link,,https://ltn.tw/zyrS5bI
L3,a8,button,Vocabulary Preview,https://ltn.tw/MdNyCdN
L3,a8,button,Listen for the Gist,https://ltn.tw/FIK2kyZ
L3,a8,button,Listen for Details,https://ltn.tw/ZgrAWus
L4,a1,button,無字幕,https://ltn.tw/EPjBumG
L4,a1,button,英文字幕,https://ltn.tw/521C8A8
L4,a1,button,中英字幕,https://ltn.tw/OK25Edm
L4,a2,button,無字幕,https://ltn.tw/521f738
L4,a2,button,英文字幕,https://ltn.tw/YUOusDv
L4,a2,button,中英字幕,https://ltn.tw/ozIPg5D
L4,a3,audio,第 1 段 Reading Selection-normal,/mp3/053.mp3
L4,a3,audio,第 2 段 Reading Selection-normal,/mp3/054.mp3
L4,a3,audio,第 3 段 Reading Selection-normal,/mp3/055.mp3
L4,a3,audio,第 4 段 Reading Selection-normal,/mp3/056.mp3
L4,a3,audio,第 5 段 Reading Selection-normal,/mp3/057.mp3
L4,a3,audio,第 1 段 Reading Selection-slow,/mp3/058.mp3
L4,a3,audio,第 2 段 Reading Selection-slow,/mp3/059.mp3
L4,a3,audio,第 3 段 Reading Selection-slow,/mp3/060.mp3
L4,a3,audio,第 4 段 Reading Selection-slow,/mp3/061.mp3
L4,a3,audio,第 5 段 Reading Selection-slow,/mp3/062.mp3
L4,a4,link,,https://ltn.tw/LcG4HXq
L4,a5,link,,https://ltn.tw/8MmfVWA
L4,a6,audio,Words for Production 1 ~ 12,/mp3/063.mp3
L4,a6,audio,Words for Production 13 ~ 25,/mp3/064.mp3
L4,a6,audio,Idioms and Phrases,/mp3/065.mp3
L4,a6,audio,Words for Recognition,/mp3/066.mp3
L4,a7,link,,https://ltn.tw/FaQ7TwZ
L4,a8,button,Vocabulary Preview,https://ltn.tw/WOwcVoa
L4,a8,button,Listen for the Gist,https://ltn.tw/6feFA4u
L4,a8,button,Listen for Details,https://ltn.tw/X27pWPe
L5,a1,button,無字幕,https://ltn.tw/MJk1UKN
L5,a1,button,英文字幕,https://ltn.tw/vNyzpQR
L5,a1,button,中英字幕,https://ltn.tw/yuirmcf
L5,a2,button,無字幕,https://ltn.tw/2sS1fnC
L5,a2,button,英文字幕,https://ltn.tw/i5C6fgL
L5,a2,button,中英字幕,https://ltn.tw/gBeDmRi
L5,a3,audio,第 1 段 Reading Selection-normal,/mp3/068.mp3
L5,a3,audio,第 2 段 Reading Selection-normal,/mp3/069.mp3
L5,a3,audio,第 3 段 Reading Selection-normal,/mp3/070.mp3
